title,company,salary,category,publicated,description
Senior Python Developer,Geniusee,,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована 6 березня 2023,1 перегляд,1 відгук","Our mission at Geniusee is to help businesses thrive through tech partnerships and strengthen the engineering community by sharing knowledge and creating opportunities🌿,We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive and productive environment for all team members, and we’re always open to feedback💜,AgroTech project — digital Financial Solution for farmers.,It provides a solution that will allow owners of small private farms to effectively manage finances. Gives access to analytics & market monitoring, helps to interact with other organizations & apply for loans. Helps to track agricultural indicators based on satellite data, and manage yield, sourcing, field activities, and risks with machine learning models.,What you will need:,● 4+ years of professional experience with Python web applications;,● Experience in Flask or FastAPI and extenensions (ORM, API);,● Experience with relational databases (MySQL, Postgres);,● Experience with AWS infrastructure and docker;,● Good debugging and problem-solving skills,● Upper-Intermediate English level.,What will you get:,● Competitive salary and good compensation package;,● Exciting, challenging and stable startup projects with a modern stack;,● Corporate English course;,● Ability to practice English and communication skills through permanent interaction with clients from all over the world;,● Professional study compensation;,● Career development opportunity, semi-annual and annual salary review process;,● Necessary equipment to perform work tasks;,● VIP medical insurance or sports coverage;,● Informal and friendly atmosphere;,● The ability to focus on your work: a lack of bureaucracy and micromanagement;,● Flexible working hours (start your day between 8:00 and 11:30);,● Team buildings, corporate events;,● Paid vacation (18 working days) and sick leaves;,● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ),● Unlimited work from home from anywhere in the world (remote);,● Geniusee has its own charity fund.,Reasons you will love working at Geniusee:,● Employee-friendly working conditions,One of Geniusee’s core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best.,● Teamwork beats distance,We put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events.,● Excellent tools and equipment,You don’t have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description.,Your Geniusee Career Growth:,● 360-degree feedback — a process through which feedback from an employee’s subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered,● Evaluation — time to talk with an expert. Together, you will assess the progress you have achieved,● Navigation — summarize your review with a manager and define your future goals"
Middle strong Python Developer,Geniusee,,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована 6 березня 2023,17 переглядів,5 відгуків","Geniusee is looking for an experienced Middle strong Python Developer to join us.,Our mission at Geniusee is to help businesses thrive through tech partnerships and strengthen the engineering community by sharing knowledge and creating opportunities🌿,We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive and productive environment for all team members, and we’re always open to feedback💜,AgroTech project - digital Financial Solution for farmers.,It provides a solution that will allow owners of small private farms to effectively manage finances. Gives access to analytics & market monitoring, helps to interact with other organizations & apply for loans. Helps to track agricultural indicators based on satellite data, and manage yield, sourcing, field activities, and risks with machine learning models.,● 3+ years of professional experience with Python web applications,● Experience in Django, or Flask or FastAPI and extenensions (ORM, API),● Experience with Redis, Mongo, MySQL, PostresSQL,● Intermediate strong English level.,● Experience with AWS, docker,● Competitive salary and good compensation package;,● Exciting, challenging and stable startup projects with a modern stack;,● Corporate English course;,● Ability to practice English and communication skills through permanent interaction with clients from all over the world;,● Professional study compensation;,● Career development opportunity, semi-annual and annual salary review process;,● Necessary equipment to perform work tasks;,● VIP medical insurance or sports coverage;,● Informal and friendly atmosphere;,● The ability to focus on your work: a lack of bureaucracy and micromanagement;,● Flexible working hours (start your day between 8:00 and 11:30);,● Team buildings, corporate events;,● Paid vacation (18 working days) and sick leaves;,● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ),● Unlimited work from home from anywhere in the world (remote);,● Geniusee has its own charity fund.,● Employee-friendly working conditions,One of Geniusee’s core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best.,● Teamwork beats distance,We put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events.,● Excellent tools and equipment,You don’t have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description.,Your Geniusee Career Growth:,● 360-degree feedback — a process through which feedback from an employee’s subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered,● Evaluation — time to talk with an expert. Together, you will assess the progress you have achieved,● Navigation — summarize your review with a manager and define your future goals"
Middle Python Developer,4bill,,"Категорія: Python,Англійська: Intermediate,3 роки досвіду","Вакансія опублікована 6 березня 2023,13 переглядів,3 відгуки","«Наші платежі драйвують бізнес» — це не просто гасло, це дії, які ми втілюємо в життя!,4bill — це система ефективних онлайн-платежів для будь-кого — від стартапів-початківців до найбільших інтернет-бізнесів. Ми прагнемо створити універсальний платіжний сервіс та вдосконалити процес переказу та прийому коштів, зробивши його максимально легким, швидким та зручним.,Краще за слова говорять цифри. На сьогодні наша вже екосистема містить десятки платіжних рішень і ще більше просто зараз перебувають у стані розробки. Нашим сервісом користуються понад 460 клієнтів із різних сфер бізнесу. Майже1 000 000 платежів проходить через 4bill щодня.,І це стало можливим завдяки команді професіоналів, об'єднаних однією метою та корпоративними цінностями. Однак ми стрімко зростаємо та розвиваємося, а тому шукаємо нові таланти, які допоможуть нам трансформувати ринок платежів України.,Основні вимоги:,- Досвід роботи 2+ роки;,- Розуміння SDLC та досвід роботи з Agile або Waterfall методологіями;,- Досвід роботи з інструментами планування та управління робочим,навантаженням;,- Відмінні письмові та усні комунікативні навички;,- Впевнене знання та досвід налаштування Jira Software, Confluence, Slack;,- Навички управління та організації роботи команди;,- Креативність, аналітичне мислення, вміння знаходити нестандартні рішення задач, відповідальність;,- Досвід фасилітації команд;,- Виявлення та робота із ризиками.,Буде перевагою:,- Англійська - Intermediate;,- Знання JQL-запитів;,- Знання GitFlow;,- Досвід роботи в fintech/blockchain продуктах;,- Наявність Scrum-сертифікації.,Обовʼязки:,- Управління IT-проектами від етапу планування до релізу функціоналу;,- Формування звітів про стан проекту та надання зворотного зв’язку,стейкхолдерам;,- Управління робочим простором проектів у Jira;,- Налаштування нових та оптимізація існуючих процесів управління,проектами;,- Забезпечення повної прозорості проектів (порядок в документації, звітах, тасках);,- Організація на налагодження комунікацій в команді;,- Управління ефективною комунікацією з іншими підрозділами;,- Проведення Scrum-церемоній та інших мітингів;,- Створення проектної та процесної документації;,- Комунікація з підрозділами компанії;,- Слідкування за проектними ризикам.,Ми пропонуємо,До ринкової зарплати та драйвових завдань у базовій комплектації додаються:,- Медичне страхування;,- курси англійської мови;,- оплачувана відпустка та лікарняні;,- гнучкий графік роботи;,- корпоративи/тимбілдінги;,- офіс у центрі Києва, м. Олімпійська;,- офіційне працевлаштування або ФОП (на ваш розсуд);,- можливість навчатися у колег та приносити в проекти свої ідеї (ми підтримаємо ваш рух не лише до цілей компанії, а й до своїх);,- можливість професійного та кар'єрного зростання;,- Менторство з боку досвідченого Project Manager;,- Можливості для професійного зростання."
Middle strong Python Developer,Geniusee,,"Категорія: Python,Англійська: Intermediate,3 роки досвіду","Вакансія опублікована 6 березня 2023,14 переглядів,3 відгуки","Geniusee is looking for an experienced Middle strong Python Developer to join us.,Our mission at Geniusee is to help businesses thrive through tech partnerships and strengthen the engineering community by sharing knowledge and creating opportunities,Our mission at Geniusee is to help businesses thrive through tech partnerships and strengthen the engineering community by sharing knowledge and creating opportunities🌿,We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive and productive environment for all team members, and we’re always open to feedback💜,AgroTech project - digital Financial Solution for farmers.,It provides a solution that will allow owners of small private farms to effectively manage finances. Gives access to analytics & market monitoring, helps to interact with other organizations & apply for loans. Helps to track agricultural indicators based on satellite data, and manage yield, sourcing, field activities, and risks with machine learning models.,● 3+ years of professional experience with Python web applications,● Experience in Django, or Flask or FastAPI and extenensions (ORM, API),● Experience with Redis, Mongo, MySQL, PostresSQL,● Intermediate strong English level.,● Experience with AWS, docker,● Competitive salary and good compensation package;,● Exciting, challenging and stable startup projects with a modern stack;,● Corporate English course;,● Ability to practice English and communication skills through permanent interaction with clients from all over the world;,● Professional study compensation;,● Career development opportunity, semi-annual and annual salary review process;,● Necessary equipment to perform work tasks;,● VIP medical insurance or sports coverage;,● Informal and friendly atmosphere;,● The ability to focus on your work: a lack of bureaucracy and micromanagement;,● Flexible working hours (start your day between 8:00 and 11:30);,● Team buildings, corporate events;,● Paid vacation (18 working days) and sick leaves;,● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ),● Unlimited work from home from anywhere in the world (remote);,● Geniusee has its own charity fund.,● Employee-friendly working conditions,One of Geniusee’s core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best.,● Teamwork beats distance,We put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events.,● Excellent tools and equipment,You don’t have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description.,● 360-degree feedback — a process through which feedback from an employee’s subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered,● Evaluation — time to talk with an expert. Together, you will assess the progress you have achieved,● Navigation — summarize your review with a manager and define your future goals"
Senior Data Engineer,Proxet,$6000-7000,"Категорія: Python,Англійська: Upper-Intermediate,5 років досвіду","Вакансія опублікована 6 березня 2023,1 перегляд,0 відгуків","Project tech-stack: Airflow, Amazon API, Spark, S3, Pandas, Python (Django), Databricks,ABOUT THE ROLE:,We’re looking for a Senior Data Engineer, who will act as a fully dedicated, integrated extension of the engineering team. You will be solely focused on our project, attending daily standups, working hand-in-hand with other developers through the integration process, supporting the back-end, maximizing the overlap of the teams across time zones.,About the project:,The startup we work with started three years ago with no legacy code. The Client wants to build easy-to-use valuation tools for e-commerce stores (Amazon, eBay, Etsy, Shopify, or other) - range of valuations based on key business metrics, like sales, growth and profitability; historical valuations to understand how performance changes over time; areas of potential improvement.,About the client:,Growth capital company that helps to build out online stores on Amazon, eBay, Etsy, Shopify, or other e-commerce platforms, with business tools and proprietary solutions that gives a competitive edge of online presence. Capital-as-a-Service (CaaS) solution that allows platforms and marketplaces to offer custom funding solutions to amplify customer growth with a unique suite of APIs and SDKs.,Location:,Remote: Poland, Wroclaw/Krakow,Skills & Experience:,4+ years of data engineering experience;,Fluent in at least one programming language (Python preferred);,Strong programming skills (data structures, SOLID, Clean Code, Design Patterns and so on),Strong experience and understanding of relational and distributed databases;,Strong experience with at least one cloud provider (AWS preferred);,Experience with at least on scheduler type (Airflow, Event Bridge, Prefect, Dagster),Experience with data frameworks (pandas, spark),Experience with Big Data infrastructure tools such as EMR, Databricks,Experience working with 3rd party API services;,Creation, maintenance and support of data pipelines;,Understanding of ETL, data design, and data governance;,Troubleshoot and improve the infrastructure required for optimal extraction, transformation, and loading of data from a variety of data sources using SQL, Spark, and other big data technologies;,Upper-intermediate English or above.,Nice to have:,Understanding of integration with BI tools;,Knowledge and work experience of using Kubernetes;,Basic knowledge of IAC (e.g., Terraform);,Delta Lake knowledge.,Responsibilities,Maintain high standards of software quality within the team by establishing good practices and habits;,Build microservices that interact with internal systems and third-party APIs/services;,Ensuring the goals are met and ensuring the quality of the code via a standard code review process;,Working according to the Kanban process."
Senior Python Developer,4bill,,"Категорія: Python,Англійська: Intermediate,5 років досвіду","Вакансія опублікована 6 березня 2023,5 переглядів,1 відгук","«Наші платежі драйвують бізнес» — це не просто гасло, це дії, які ми втілюємо в життя!,4bill — це система ефективних онлайн-платежів для будь-кого — від стартапів-початківців до найбільших інтернет-бізнесів. Ми прагнемо створити універсальний платіжний сервіс та вдосконалити процес переказу та прийому коштів, зробивши його максимально легким, швидким та зручним.,Краще за слова говорять цифри. На сьогодні наша вже екосистема містить десятки платіжних рішень і ще більше просто зараз перебувають у стані розробки. Нашим сервісом користуються понад 460 клієнтів із різних сфер бізнесу. Майже 1 000 000 платежів проходить через 4bill щодня.,І це стало можливим завдяки команді професіоналів, об'єднаних однією метою та корпоративними цінностями. Однак ми стрімко зростаємо та розвиваємося, а тому шукаємо нові таланти, які допоможуть нам трансформувати ринок платежів України.,Основні завдання:,- Проектування, розробка та підтримка проектів на мікросервісній архітектурі (FastApi, Aiohttp);,- розробка нових модулів процесингової системи;,- написання unit тестів та тестування коду разом з тестувальниками;,- використання та проектування REST API.,Наші очікування:,- Впевнене володіння Python від п'яти років;,- Розуміння принципів асинхронного програмування;,- Робота з web-фреймфорками: FastApi, Flask;,- Робота з базами даних: PostgreSQL, MongoDB, Redis;,- Впевнена робота з Git;,- Вміння читати чужий код, розбирати, знаходити слабкі місця, пропонувати шляхи їх поліпшення, брати активну участь у розробці проектів.,Буде плюсом:,- Досвід роботи з інтернет-банкінгом, еквайрингом, розуміння принципів роботи банків (A2C, C2A, P2P перекази та ін.);,- Linux, базові навички devops;,- досвід роботи з контейнеризацією (Docker, Docker Compose, Kubernetes);,- знання інших технологій та мов (наприклад, Golang, PHP, Javascript).,Умови роботи:,До ринкової зарплати та драйвових завдань у базовій комплектації додаються:,- Медичне страхування;,- курси англійської мови;,- оплачувана відпустка та лікарняні;,- гнучкий графік роботи;,- корпоративи/тимбілдінги;,- офіс у центрі Києва, м. Олімпійська;,- офіційне працевлаштування або ФОП (на ваш розсуд);,- можливість навчатися у колег та приносити в проекти свої ідеї (ми підтримаємо ваш рух не лише до цілей компанії, а й до своїх);,- можливість професійного та кар'єрного зростання;,- систематичний перегляд мотивації раз на пів року."
Middle Strong/Senior Python Engineer,Geniusee,,"Категорія: Python,Англійська: Intermediate,5 років досвіду","Вакансія опублікована 6 березня 2023,10 переглядів,2 відгуки","Geniusee looking for remote a,with 4+ years of relevant experience,If you want to work from home or work in the offices in Kyiv, Lviv or Warsaw with stable electricity and Wi-Fi, great — apply right now.,Our mission at Geniusee is to help businesses thrive through tech partnership and strengthen the engineering community by sharing knowledge and creating opportunities🌿,We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive and productive environment for all team members, and we’re always open to feedback💜,,AgroTech (Thailand) - The Digital Financial Solution for farmers.,It provides a solution that will allow owners of small private farms to effectively manage finances, have access to analytics and market monitoring, sell crops, interact with other organizations, apply for loans, track agricultural indicators based on satellite data, optimize work (yield) using AI solutions and machine learning.,,● 5+ years of relevant experience in the IT industry, Strong knowledge of object-oriented design, programming concepts, coding standards, and best practices,● 4+ years of professional experience with Python web applications,● Experience in Django, or Flask or FastAPI and extenensions (ORM, API),● Experience with Redis, Mongo, MySQL, PostresSQL,● Intermediate strong English level.,,● Experience with AWS, docker,● Competitive salary and good compensation package;,● Exciting, challenging and stable startup projects with a modern stack;,● Corporate English course;,● Ability to practice English and communication skills through permanent interaction with clients from all over the world;,● Professional study compensation, online courses and certifications;,● Career development opportunity, semi-annual and annual salary review process;,● Necessary equipment to perform work tasks;,● VIP medical insurance or sports coverage;,● Informal and friendly atmosphere;,● The ability to focus on your work: a lack of bureaucracy and micromanagement;,● Flexible working hours (start your day between 8:00 and 11:30);,● Team buildings, corporate events;,● Paid vacation (18 working days) and sick leaves;,● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ),● Compensation for coworking (except for employees from Kyiv and Lviv),● Corporate lunch + soft skills clubs,● Unlimited work from home from anywhere in the world (remote);,● Geniusee has its own charity fund.,,● Employee-friendly working conditions,One of Geniusee’s core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best.,● Teamwork beats distance,We put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events.,● Excellent tools and equipment,You don’t have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description.,,● 360-degree feedback — a process through which feedback from an employee’s subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered,● Evaluation — time to talk with an expert. Together, you will assess the progress you have achieved,● Navigation — summarize your review with a manager and define your future goals,Our mission at Geniusee is to help businesses thrive through tech partnership and strengthen the engineering community by sharing knowledge and creating opportunities🌿,We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive and productive environment for all team members, and we’re always open to feedback💜 If you want to work from home and be a full time employee or work in the city centre of Kyiv, great - apply right now.,,https://geniusee.com/about,,https://jobs.dou.ua/companies/geniusee/"
Full-Stack Python Engineer,OSSystem,,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована 6 березня 2023,21 перегляд,9 відгуків","- Не менее 3-х лет коммерческого опыта как Full-Stack разработчик.,- Экспертные знания Python ( Django/Flask),- Опыт работы с SQLAlchemy, PostgreSQL,- Умение проектировать API, работать с OpenAPI / Swagger,- Навыки администрирования серверов, в частности - работа с Docker,- Опыт работы с облачной архитектурой- AWS,- Опыт работы с CI tools (Jenkins),- Английский язык - intermediate и выше,- Дизайн / разработка RESTful API,- Оптимизация базы данных,- OpenCV и обработка изображений,- Базовые знания machine learning, React (Redux)"
Python Developer (API),Devico,,"Категорія: Python,Англійська: Upper-Intermediate,3 роки досвіду","Вакансія опублікована 6 березня 2023,32 перегляди,11 відгуків","Devico is a hard-working and tight-knit team with first-rate experience in full-cycle Web and Mobile development. We help our global customers by providing hard-to-find technology resources for software development, QA, UI/UX, and product. By building our experience over the past 10 years, we have particular strengths in mobile app development, bespoke software platforms and test automation, and technologies including JavaScript and its multitude of frameworks, Java, Python, .Net, etc.,We are looking for a motivated Python Developer with experience of at least 3 years to join our team on a full-time basis.,Our client provides financial players with the opportunity to create the best banking and payment operations creating the future of open finance. He is a reliable partner of leading financial companies all over Europe. You will join the Engineering department in a team of Python backend developers to face new challenges with development of new products and new functionalities.,About you:,-3+ years of experience in Software Development with Python;,-Experience with REST API design and proficiency with FastAPI, Django or Flask API frameworks;,-Experience with MySQL/PostgreSQL or other SQL databases;,-Experience with Git / GitHub / Gitlab;,-Experience of the Agile project management methodology;,-Excellent communication skills and great team spirit;,-Upper-Intermediate level of English (communication with English-speaking teams).,About your responsibility:,-Build, maintain and optimize the API and all related services/features;,-Participate in the technical design of the API, in collaboration with a Software Architect;,-Development of the related functionalities, in collaboration with the other Engineering teams;,-Ensure the consistency and quality of the code in production, you will participate in the code review of your team members.,We offer:,-Fully remote work;,-Competitive salary;,-Excellent opportunities and prospects for professional growth."
Python Developer (with Terraform experience),Binariks,,"Категорія: Python,Англійська: Upper-Intermediate,2 роки досвіду","Вакансія опублікована 6 березня 2023,10 переглядів,2 відгуки","Healthcare project about the healing power of music and its positive impact on people who have neurologic injuries and diseases. By using the product, people have access to individual song experiences that improve their ability to walk. Client's company built a partnership with the Universal Music Group - the world leader in music-based entertainment, so the product has a database with an outstanding amount of songs that can be used as a treatment. Just imagine - healing while enjoying your favorite song.,Project Team,Few Scrum teams, each up to 5 team members. We're hiring people to build a new Scrum team that should contain 1 Senior backend (Python) Developer, 1 Python Developer, and 1 Senior Manual QA Engineer. Each team has its Product Manager/PO. Each team works on a separate backlog, but the collaboration between teams is encouraged and supported by the company.,Experience with Python, Django 3+ years,Experience in cloud web development (preferably AWS),Strong experience with Terraform,Familiarity in developing systems and/or applications subject to HIPAA/FDA compliance regulations,Experience with data analytics tools or building artificial intelligence/machine learning cloud applications,Familiarity with Docker and container orchestration,Experience working in a start-up or small business environment,Strategic, analytical, and mathematical mind, capable of evaluating and solving various complex problems,Self-motivated attitude with the ability to multitask and thrive in a fast-paced start-up environment,Interpersonal communication skills to support cross-team communications,Agile and Scrum experience,At least an Upper-Intermediate level of English for daily communication,Build innovative, high-quality, and high-performance applications that run on AWS using technologies, such as Django, Docker, and Python. We value the ability to learn and grow together above knowing any particular technology,Manage clinical data within clinical databases and backend systems,Drive technical investments from the early exploration of ideas to delivering integral parts of our stack, balancing short-term goals with long-term architectural vision,Work collaboratively in a small, focused product team with other developers, QA engineers, and business stakeholders to develop backend cloud systems, partner integrations, and data support tools,18 working days of paid vacation,10 working days of sick leave annually (5 days paid at 100% and 5 days at 75% rate of your average monthly salary),50% cost compensation for English courses at the office,Flexible work schedule,Additional days off for special occasions, national holidays off,A competitive and rewarding salary based on performance appraisals/knowledge evaluation,Possibility to share and gain knowledge on regular tech talks,Friendly and professional team,Innovative projects with advanced technologies,Corporate events,Remote work,Accounting service"
